,user_id,created_at,tweet,hashtags,retweet_count,favourite_count,url
3022,b'Jagdeep33107283',2020-09-22 04:28:31,b'RT @ChiragdeepDahi1: #Pannun this is the actual status of your so-called #Khalistan #referendum2020 voting and you still want to have a doo\xe2\x80\xa6',"[{'text': 'Pannun', 'indices': [21, 28]}, {'text': 'Khalistan', 'indices': [73, 83]}, {'text': 'referendum2020', 'indices': [84, 99]}]",42,0,[]
3023,b'JeevanjotDhill1',2020-09-22 04:27:41,b'RT @Sukhlee72644266: try to understand that #Khalistan is a #Trap. #NahiChahiyeKhalistan #NoKhalistanInNovember #KhalistanIsNotASolution ht\xe2\x80\xa6',"[{'text': 'Khalistan', 'indices': [44, 54]}, {'text': 'Trap', 'indices': [60, 65]}, {'text': 'NahiChahiyeKhalistan', 'indices': [67, 88]}, {'text': 'NoKhalistanInNovember', 'indices': [89, 111]}, {'text': 'KhalistanIsNotASolution', 'indices': [112, 136]}]",20,0,[]
3024,b'Sootradhar',2020-09-22 04:24:15,b'RT @Sootradhar: Sikh Elder on sanctity of Ram Mandir &amp; Crimes of Islamists on Hindus &amp; Sikhs\n\n#KHALISTAN\n\nhttps://t.co/2sVjsuHd6y',"[{'text': 'KHALISTAN', 'indices': [102, 112]}]",1,0,"[{'url': 'https://t.co/2sVjsuHd6y', 'expanded_url': 'https://youtu.be/bFWh2EGhT0c', 'display_url': 'youtu.be/bFWh2EGhT0c', 'indices': [114, 137]}]"
3025,b'Dumbheades',2020-09-22 04:20:14,b'RT @Sukhlee72644266: try to understand that #Khalistan is a #Trap. #NahiChahiyeKhalistan #NoKhalistanInNovember #KhalistanIsNotASolution ht\xe2\x80\xa6',"[{'text': 'Khalistan', 'indices': [44, 54]}, {'text': 'Trap', 'indices': [60, 65]}, {'text': 'NahiChahiyeKhalistan', 'indices': [67, 88]}, {'text': 'NoKhalistanInNovember', 'indices': [89, 111]}, {'text': 'KhalistanIsNotASolution', 'indices': [112, 136]}]",20,0,[]
3026,b'ManmeetSethi4',2020-09-22 04:08:36,b'RT @Sukhlee72644266: try to understand that #Khalistan is a #Trap. #NahiChahiyeKhalistan #NoKhalistanInNovember #KhalistanIsNotASolution ht\xe2\x80\xa6',"[{'text': 'Khalistan', 'indices': [44, 54]}, {'text': 'Trap', 'indices': [60, 65]}, {'text': 'NahiChahiyeKhalistan', 'indices': [67, 88]}, {'text': 'NoKhalistanInNovember', 'indices': [89, 111]}, {'text': 'KhalistanIsNotASolution', 'indices': [112, 136]}]",20,0,[]
3027,b'chughachmuit',2020-09-22 04:03:41,"b'RT @Amarjot42854873: Dear #SFJ, #Pannun and other #Khalistan supporters, please answer these questions asked in the video or stop your #Kha\xe2\x80\xa6'","[{'text': 'SFJ', 'indices': [26, 30]}, {'text': 'Pannun', 'indices': [32, 39]}, {'text': 'Khalistan', 'indices': [50, 60]}]",56,0,[]
3028,b'PanthParchar',2020-09-22 03:53:05,"b'RT @Amarjot42854873: Dear #SFJ, #Pannun and other #Khalistan supporters, please answer these questions asked in the video or stop your #Kha\xe2\x80\xa6'","[{'text': 'SFJ', 'indices': [26, 30]}, {'text': 'Pannun', 'indices': [32, 39]}, {'text': 'Khalistan', 'indices': [50, 60]}]",56,0,[]
3029,b'YOGIINDIAFIRST',2020-09-22 03:48:18,b'RT @Sukhlee72644266: try to understand that #Khalistan is a #Trap. #NahiChahiyeKhalistan #NoKhalistanInNovember #KhalistanIsNotASolution ht\xe2\x80\xa6',"[{'text': 'Khalistan', 'indices': [44, 54]}, {'text': 'Trap', 'indices': [60, 65]}, {'text': 'NahiChahiyeKhalistan', 'indices': [67, 88]}, {'text': 'NoKhalistanInNovember', 'indices': [89, 111]}, {'text': 'KhalistanIsNotASolution', 'indices': [112, 136]}]",20,0,[]
3030,b'varahiamma',2020-09-22 03:40:11,b'RT @Sukhlee72644266: try to understand that #Khalistan is a #Trap. #NahiChahiyeKhalistan #NoKhalistanInNovember #KhalistanIsNotASolution ht\xe2\x80\xa6',"[{'text': 'Khalistan', 'indices': [44, 54]}, {'text': 'Trap', 'indices': [60, 65]}, {'text': 'NahiChahiyeKhalistan', 'indices': [67, 88]}, {'text': 'NoKhalistanInNovember', 'indices': [89, 111]}, {'text': 'KhalistanIsNotASolution', 'indices': [112, 136]}]",20,0,[]
3031,b'vjonarjun',2020-09-22 03:38:17,"b'RT @Amarjot42854873: Dear #SFJ, #Pannun and other #Khalistan supporters, please answer these questions asked in the video or stop your #Kha\xe2\x80\xa6'","[{'text': 'SFJ', 'indices': [26, 30]}, {'text': 'Pannun', 'indices': [32, 39]}, {'text': 'Khalistan', 'indices': [50, 60]}]",56,0,[]
3032,b'ashishsah168',2020-09-22 03:34:20,b'RT @ChiragdeepDahi1: #Pannun this is the actual status of your so-called #Khalistan #referendum2020 voting and you still want to have a doo\xe2\x80\xa6',"[{'text': 'Pannun', 'indices': [21, 28]}, {'text': 'Khalistan', 'indices': [73, 83]}, {'text': 'referendum2020', 'indices': [84, 99]}]",42,0,[]
3033,b'RamaTelani',2020-09-22 03:26:33,"b'RT @Amarjot42854873: Dear #SFJ, #Pannun and other #Khalistan supporters, please answer these questions asked in the video or stop your #Kha\xe2\x80\xa6'","[{'text': 'SFJ', 'indices': [26, 30]}, {'text': 'Pannun', 'indices': [32, 39]}, {'text': 'Khalistan', 'indices': [50, 60]}]",56,0,[]
3034,b'VB_Subrahmanyam',2020-09-22 03:20:52,b'RT @Sukhlee72644266: try to understand that #Khalistan is a #Trap. #NahiChahiyeKhalistan #NoKhalistanInNovember #KhalistanIsNotASolution ht\xe2\x80\xa6',"[{'text': 'Khalistan', 'indices': [44, 54]}, {'text': 'Trap', 'indices': [60, 65]}, {'text': 'NahiChahiyeKhalistan', 'indices': [67, 88]}, {'text': 'NoKhalistanInNovember', 'indices': [89, 111]}, {'text': 'KhalistanIsNotASolution', 'indices': [112, 136]}]",20,0,[]
3035,b'Gsimran07',2020-09-22 03:20:07,b'Puneet Singh @PSCINDIAN hs demanded immediate intervention of #Presidency #UNSC @Niger_ONU @UN on atrocities on\xe2\x80\xa6 https://t.co/7PSvut5Uzc',"[{'text': 'Presidency', 'indices': [62, 73]}, {'text': 'UNSC', 'indices': [74, 79]}]",6,22,"[{'url': 'https://t.co/7PSvut5Uzc', 'expanded_url': 'https://twitter.com/i/web/status/1308244660758786048', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [113, 136]}]"
3036,b'Sukhlee72644266',2020-09-22 03:19:37,b'try to understand that #Khalistan is a #Trap. #NahiChahiyeKhalistan #NoKhalistanInNovember #KhalistanIsNotASolution\xe2\x80\xa6 https://t.co/qgQkULvlB3',"[{'text': 'Khalistan', 'indices': [23, 33]}, {'text': 'Trap', 'indices': [39, 44]}, {'text': 'NahiChahiyeKhalistan', 'indices': [46, 67]}, {'text': 'NoKhalistanInNovember', 'indices': [68, 90]}, {'text': 'KhalistanIsNotASolution', 'indices': [91, 115]}]",20,27,"[{'url': 'https://t.co/qgQkULvlB3', 'expanded_url': 'https://twitter.com/i/web/status/1308244534531301376', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
3037,b'GoogleRetweet',2020-09-22 03:05:13,b'RT @sukhgrewalbjp: #SFJ #KhalistaniSeparatists uploaded another application on the #Google play store to promote #Khalistan. Their goal is\xe2\x80\xa6',"[{'text': 'SFJ', 'indices': [19, 23]}, {'text': 'KhalistaniSeparatists', 'indices': [24, 46]}, {'text': 'Google', 'indices': [83, 90]}, {'text': 'Khalistan', 'indices': [113, 123]}]",2,0,[]
3038,b'sukhgrewalbjp',2020-09-22 03:05:10,b'#SFJ #KhalistaniSeparatists uploaded another application on the #Google play store to promote #Khalistan. Their goa\xe2\x80\xa6 https://t.co/uSkiHLax3j',"[{'text': 'SFJ', 'indices': [0, 4]}, {'text': 'KhalistaniSeparatists', 'indices': [5, 27]}, {'text': 'Google', 'indices': [64, 71]}, {'text': 'Khalistan', 'indices': [94, 104]}]",2,1,"[{'url': 'https://t.co/uSkiHLax3j', 'expanded_url': 'https://twitter.com/i/web/status/1308240895771381761', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
3039,b'nealx28',2020-09-22 02:51:45,b'RT @ChiragdeepDahi1: #Pannun this is the actual status of your so-called #Khalistan #referendum2020 voting and you still want to have a doo\xe2\x80\xa6',"[{'text': 'Pannun', 'indices': [21, 28]}, {'text': 'Khalistan', 'indices': [73, 83]}, {'text': 'referendum2020', 'indices': [84, 99]}]",42,0,[]
3040,b'nealx28',2020-09-22 02:51:21,"b'RT @Amarjot42854873: Dear #SFJ, #Pannun and other #Khalistan supporters, please answer these questions asked in the video or stop your #Kha\xe2\x80\xa6'","[{'text': 'SFJ', 'indices': [26, 30]}, {'text': 'Pannun', 'indices': [32, 39]}, {'text': 'Khalistan', 'indices': [50, 60]}]",56,0,[]
3041,b'ashishsingh0612',2020-09-22 02:39:15,"b""RT @kaurmahi829: opportunity to grow. Focus on education, career, and helping the poor and you won't have time to worry about anything else\xe2\x80\xa6""",[],8,0,[]
3042,b'mulednyanesh',2020-09-22 02:36:50,b'RT @ChiragdeepDahi1: #Pannun this is the actual status of your so-called #Khalistan #referendum2020 voting and you still want to have a doo\xe2\x80\xa6',"[{'text': 'Pannun', 'indices': [21, 28]}, {'text': 'Khalistan', 'indices': [73, 83]}, {'text': 'referendum2020', 'indices': [84, 99]}]",42,0,[]
3043,b'RRPathak9',2020-09-22 02:36:14,"b'RT @Amarjot42854873: Dear #SFJ, #Pannun and other #Khalistan supporters, please answer these questions asked in the video or stop your #Kha\xe2\x80\xa6'","[{'text': 'SFJ', 'indices': [26, 30]}, {'text': 'Pannun', 'indices': [32, 39]}, {'text': 'Khalistan', 'indices': [50, 60]}]",56,0,[]
3044,b'wartalaap',2020-09-22 02:20:01,b'RT @ChiragdeepDahi1: #Pannun this is the actual status of your so-called #Khalistan #referendum2020 voting and you still want to have a doo\xe2\x80\xa6',"[{'text': 'Pannun', 'indices': [21, 28]}, {'text': 'Khalistan', 'indices': [73, 83]}, {'text': 'referendum2020', 'indices': [84, 99]}]",42,0,[]
3045,b'hemant_malviya',2020-09-22 02:09:03,"b'#Khalistan is propaganda only , hence proved ! https://t.co/y1xJXwkb5Q'","[{'text': 'Khalistan', 'indices': [0, 10]}]",0,0,"[{'url': 'https://t.co/y1xJXwkb5Q', 'expanded_url': 'https://twitter.com/dna/status/1308209400855887872', 'display_url': 'twitter.com/dna/status/130…', 'indices': [47, 70]}]"
3046,b'Agampre51027283',2020-09-22 02:06:01,"b'RT @KaurVeera120596: #Pannun do you know the meaning of No? The word ""No"" is usually used to give a negative response. #RealSikhs say a big\xe2\x80\xa6'","[{'text': 'Pannun', 'indices': [21, 28]}, {'text': 'RealSikhs', 'indices': [119, 129]}]",16,0,[]
3047,b'the_hyderabadi',2020-09-22 02:04:47,b'RT @Jaspree05577070: A recent report on #Khalistan has triggered an intense debate on Khalistani terrorism and exposed the Pakistani connec\xe2\x80\xa6',"[{'text': 'Khalistan', 'indices': [40, 50]}]",14,0,[]
3048,b'DharmikRebel',2020-09-22 02:04:35,"b'RT @Amarjot42854873: Dear #SFJ, #Pannun and other #Khalistan supporters, please answer these questions asked in the video or stop your #Kha\xe2\x80\xa6'","[{'text': 'SFJ', 'indices': [26, 30]}, {'text': 'Pannun', 'indices': [32, 39]}, {'text': 'Khalistan', 'indices': [50, 60]}]",56,0,[]
3049,b'SudhirPuthran',2020-09-22 01:36:13,b'RT @ChiragdeepDahi1: #Pannun this is the actual status of your so-called #Khalistan #referendum2020 voting and you still want to have a doo\xe2\x80\xa6',"[{'text': 'Pannun', 'indices': [21, 28]}, {'text': 'Khalistan', 'indices': [73, 83]}, {'text': 'referendum2020', 'indices': [84, 99]}]",42,0,[]
3050,b'sharmayogesh27',2020-09-22 01:26:47,"b'RT @Amarjot42854873: Dear #SFJ, #Pannun and other #Khalistan supporters, please answer these questions asked in the video or stop your #Kha\xe2\x80\xa6'","[{'text': 'SFJ', 'indices': [26, 30]}, {'text': 'Pannun', 'indices': [32, 39]}, {'text': 'Khalistan', 'indices': [50, 60]}]",56,0,[]
3051,b'Traveller_Makk',2020-09-22 00:55:13,b'RT @Jaspree05577070: A recent report on #Khalistan has triggered an intense debate on Khalistani terrorism and exposed the Pakistani connec\xe2\x80\xa6',"[{'text': 'Khalistan', 'indices': [40, 50]}]",14,0,[]
3052,b'rakeshk39839579',2020-09-22 00:29:02,b'RT @Jaspree05577070: A recent report on #Khalistan has triggered an intense debate on Khalistani terrorism and exposed the Pakistani connec\xe2\x80\xa6',"[{'text': 'Khalistan', 'indices': [40, 50]}]",14,0,[]
3053,b'SundeepTugnait',2020-09-22 00:19:55,"b'RT @Amarjot42854873: Dear #SFJ, #Pannun and other #Khalistan supporters, please answer these questions asked in the video or stop your #Kha\xe2\x80\xa6'","[{'text': 'SFJ', 'indices': [26, 30]}, {'text': 'Pannun', 'indices': [32, 39]}, {'text': 'Khalistan', 'indices': [50, 60]}]",56,0,[]
3054,b'SukhjeetUS',2020-09-21 23:59:26,b'RT @ChiragdeepDahi1: #Pannun this is the actual status of your so-called #Khalistan #referendum2020 voting and you still want to have a doo\xe2\x80\xa6',"[{'text': 'Pannun', 'indices': [21, 28]}, {'text': 'Khalistan', 'indices': [73, 83]}, {'text': 'referendum2020', 'indices': [84, 99]}]",42,0,[]
3055,b'DimensionlessOm',2020-09-21 23:58:46,b'RT @Jaspree05577070: A recent report on #Khalistan has triggered an intense debate on Khalistani terrorism and exposed the Pakistani connec\xe2\x80\xa6',"[{'text': 'Khalistan', 'indices': [40, 50]}]",14,0,[]
3056,b'nylalsingh',2020-09-21 23:56:40,b'RT @ChiragdeepDahi1: #Pannun this is the actual status of your so-called #Khalistan #referendum2020 voting and you still want to have a doo\xe2\x80\xa6',"[{'text': 'Pannun', 'indices': [21, 28]}, {'text': 'Khalistan', 'indices': [73, 83]}, {'text': 'referendum2020', 'indices': [84, 99]}]",42,0,[]
3057,b'Poltergiest420',2020-09-21 23:50:18,b'RT @Jaspree05577070: A recent report on #Khalistan has triggered an intense debate on Khalistani terrorism and exposed the Pakistani connec\xe2\x80\xa6',"[{'text': 'Khalistan', 'indices': [40, 50]}]",14,0,[]
3058,b'VB_Subrahmanyam',2020-09-21 23:47:25,b'RT @Jaspree05577070: A recent report on #Khalistan has triggered an intense debate on Khalistani terrorism and exposed the Pakistani connec\xe2\x80\xa6',"[{'text': 'Khalistan', 'indices': [40, 50]}]",14,0,[]
