,user_id,created_at,tweet,hashtags,retweet_count,favourite_count,tweet_url,user_location,tweet_urls
126,b'Mahisidhu19',2020-09-29 16:10:58,"b""RT @Jas_preet1984: Pannun, a Pakistani puppet who works for Pakistan, see Sikh's answer to the Referendum2020.#ShameOnSFJ #ShameOnPannun #K\xe2\x80\xa6""","[{'text': 'ShameOnSFJ', 'indices': [110, 121]}, {'text': 'ShameOnPannun', 'indices': [122, 136]}]",13,0,,,[]
127,b'Naveenku555',2020-09-29 15:39:50,"b""RT @Jas_preet1984: Pannun, a Pakistani puppet who works for Pakistan, see Sikh's answer to the Referendum2020.#ShameOnSFJ #ShameOnPannun #K\xe2\x80\xa6""","[{'text': 'ShameOnSFJ', 'indices': [110, 121]}, {'text': 'ShameOnPannun', 'indices': [122, 136]}]",13,0,,,[]
128,b'yindiren',2020-09-29 15:34:44,"b""RT @Jas_preet1984: Pannun, a Pakistani puppet who works for Pakistan, see Sikh's answer to the Referendum2020.#ShameOnSFJ #ShameOnPannun #K\xe2\x80\xa6""","[{'text': 'ShameOnSFJ', 'indices': [110, 121]}, {'text': 'ShameOnPannun', 'indices': [122, 136]}]",13,0,,,[]
129,b'Exsecularnick',2020-09-29 15:23:48,"b""RT @Jas_preet1984: Pannun, a Pakistani puppet who works for Pakistan, see Sikh's answer to the Referendum2020.#ShameOnSFJ #ShameOnPannun #K\xe2\x80\xa6""","[{'text': 'ShameOnSFJ', 'indices': [110, 121]}, {'text': 'ShameOnPannun', 'indices': [122, 136]}]",13,0,,,[]
130,b'Kicks40341523',2020-09-29 15:06:46,"b""RT @Jas_preet1984: Pannun, a Pakistani puppet who works for Pakistan, see Sikh's answer to the Referendum2020.#ShameOnSFJ #ShameOnPannun #K\xe2\x80\xa6""","[{'text': 'ShameOnSFJ', 'indices': [110, 121]}, {'text': 'ShameOnPannun', 'indices': [122, 136]}]",13,0,,,[]
131,b'Lovepre16582229',2020-09-29 15:06:23,"b""RT @Jas_preet1984: Pannun, a Pakistani puppet who works for Pakistan, see Sikh's answer to the Referendum2020.#ShameOnSFJ #ShameOnPannun #K\xe2\x80\xa6""","[{'text': 'ShameOnSFJ', 'indices': [110, 121]}, {'text': 'ShameOnPannun', 'indices': [122, 136]}]",13,0,,,[]
132,b'atulkelkar',2020-09-29 14:47:42,"b""RT @Jas_preet1984: Pannun, a Pakistani puppet who works for Pakistan, see Sikh's answer to the Referendum2020.#ShameOnSFJ #ShameOnPannun #K\xe2\x80\xa6""","[{'text': 'ShameOnSFJ', 'indices': [110, 121]}, {'text': 'ShameOnPannun', 'indices': [122, 136]}]",13,0,,,[]
133,b'sattarbaloch007',2020-09-29 14:35:06,"b'RT @sudhikshakaur: #Khalistan is the only solution to get the rights of #Farmers of #Punjab \n#SFJ is  Offering $1,000000 Million to Punjab\xe2\x80\xa6'","[{'text': 'Khalistan', 'indices': [19, 29]}, {'text': 'Farmers', 'indices': [72, 80]}, {'text': 'Punjab', 'indices': [84, 91]}, {'text': 'SFJ', 'indices': [93, 97]}]",2,0,,,[]
134,b'shahar_mera',2020-09-29 14:22:49,"b'RT @KhalistanIsAJo1: #PakistanISI is the only mastermind behind every issue #Punjab is facing.\nWith the help of #SFJ, #Pakistan is using #S\xe2\x80\xa6'","[{'text': 'PakistanISI', 'indices': [21, 33]}, {'text': 'Punjab', 'indices': [76, 83]}, {'text': 'SFJ', 'indices': [112, 116]}, {'text': 'Pakistan', 'indices': [118, 127]}]",4,0,,,[]
135,b'KapilRa61802875',2020-09-29 14:20:49,"b""RT @Jas_preet1984: Pannun, a Pakistani puppet who works for Pakistan, see Sikh's answer to the Referendum2020.#ShameOnSFJ #ShameOnPannun #K\xe2\x80\xa6""","[{'text': 'ShameOnSFJ', 'indices': [110, 121]}, {'text': 'ShameOnPannun', 'indices': [122, 136]}]",13,0,,,[]
136,b'AG99233403',2020-09-29 14:16:31,"b""RT @Jas_preet1984: Pannun, a Pakistani puppet who works for Pakistan, see Sikh's answer to the Referendum2020.#ShameOnSFJ #ShameOnPannun #K\xe2\x80\xa6""","[{'text': 'ShameOnSFJ', 'indices': [110, 121]}, {'text': 'ShameOnPannun', 'indices': [122, 136]}]",13,0,,,[]
137,b'Stephen38112109',2020-09-29 13:58:54,b'RT @EzeobiZ: @EmekaGift @antonioguterres @realDonaldTrump @netanyahu @EmmanuelMacron What we #IPOB are seeking for is @UN organised #Refere\xe2\x80\xa6',"[{'text': 'IPOB', 'indices': [93, 98]}]",5,0,,,[]
138,b'Dumbheades',2020-09-29 13:34:50,"b""RT @Jas_preet1984: Pannun, a Pakistani puppet who works for Pakistan, see Sikh's answer to the Referendum2020.#ShameOnSFJ #ShameOnPannun #K\xe2\x80\xa6""","[{'text': 'ShameOnSFJ', 'indices': [110, 121]}, {'text': 'ShameOnPannun', 'indices': [122, 136]}]",13,0,,,[]
139,b'Jas_preet1984',2020-09-29 13:26:15,"b""Pannun, a Pakistani puppet who works for Pakistan, see Sikh's answer to the Referendum2020.#ShameOnSFJ\xe2\x80\xa6 https://t.co/WF8feZ4HYo""","[{'text': 'ShameOnSFJ', 'indices': [91, 102]}]",13,31,,,"[{'url': 'https://t.co/WF8feZ4HYo', 'expanded_url': 'https://twitter.com/i/web/status/1310933911212523520', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [104, 127]}]"
140,b'Elias59322566',2020-09-29 12:49:59,b'My thoughts avout the latest Italian constitutional referendum for Opendemocracy:\nhttps://t.co/dAJpv2fDvU\xe2\x80\xa6 https://t.co/A0S8y59jGF',[],0,0,,,"[{'url': 'https://t.co/dAJpv2fDvU', 'expanded_url': 'https://www.opendemocracy.net/en/can-europe-make-it/referendum-should-not-be/', 'display_url': 'opendemocracy.net/en/can-europe-…', 'indices': [82, 105]}, {'url': 'https://t.co/A0S8y59jGF', 'expanded_url': 'https://twitter.com/i/web/status/1310924784172138497', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [107, 130]}]"
141,b'SikkaSimarpreet',2020-09-29 11:52:05,"b""RT @KhalistanIsAJo1: #SFJ's #Referendum2020 is nothing but a vicious trap.\n.\n#khalistan2020 #khalistanin2020 #Referendum2020Exposed #khalsa\xe2\x80\xa6""","[{'text': 'SFJ', 'indices': [21, 25]}, {'text': 'Referendum2020', 'indices': [28, 43]}, {'text': 'khalistan2020', 'indices': [77, 91]}, {'text': 'khalistanin2020', 'indices': [92, 108]}, {'text': 'Referendum2020Exposed', 'indices': [109, 131]}, {'text': 'khalsa', 'indices': [132, 139]}]",9,0,,,[]
142,b'OJIOGUOJIOGU2',2020-09-29 11:50:25,b'RT @EzeobiZ: @EmekaGift @antonioguterres @realDonaldTrump @netanyahu @EmmanuelMacron What we #IPOB are seeking for is @UN organised #Refere\xe2\x80\xa6',"[{'text': 'IPOB', 'indices': [93, 98]}]",5,0,,,[]
143,b'tonytonerro9',2020-09-29 11:49:29,b'RT @EzeobiZ: @EmekaGift @antonioguterres @realDonaldTrump @netanyahu @EmmanuelMacron What we #IPOB are seeking for is @UN organised #Refere\xe2\x80\xa6',"[{'text': 'IPOB', 'indices': [93, 98]}]",5,0,,,[]
144,b'Jamshaid_2012',2020-09-29 07:19:54,b'RT @Suleman2552: The Sikh community all over in the world including India are protesting against Hindutva and RSS terrorism.\nAnd the #Refer\xe2\x80\xa6',[],53,0,,,[]
145,b'jmez1010',2020-09-29 06:53:52,"b""RT @Jasleen_Kaur11: \xf0\x9f\xa4\xa3\xf0\x9f\x98\x82Now Coming this is a next plan Pakistan  puppet pannun team's. #Kashmir_With_India #ShameOnSFJ #ShameOnPannun #Khalis\xe2\x80\xa6""","[{'text': 'Kashmir_With_India', 'indices': [85, 104]}, {'text': 'ShameOnSFJ', 'indices': [105, 116]}, {'text': 'ShameOnPannun', 'indices': [117, 131]}]",5,0,,,[]
146,b'jmez1010',2020-09-29 06:39:49,"b""RT @Jasleen_Kaur11: Pannun, a Pakistani puppet who works for Pakistan, see this, Indian Sikh's answer to the Referendum2020  for you.#Shame\xe2\x80\xa6""",[],29,0,,,[]
147,b'jmez1010',2020-09-29 06:32:28,b'RT @KaurVeera120596: The failure of #Referendum2020 is inevitable. That is why #Pannun is trying all his strategies in one go. Be it Door -\xe2\x80\xa6',"[{'text': 'Referendum2020', 'indices': [36, 51]}, {'text': 'Pannun', 'indices': [79, 86]}]",29,0,,,[]
148,b'sql_nz',2020-09-29 06:18:42,"b'Thanks Tiki Taane, you have secured a no-vote from me. @NewshubNZ\n#nzpol #cannabisreferendum #Referendum2020 \nhttps://t.co/QkkY4StsHh'","[{'text': 'nzpol', 'indices': [66, 72]}, {'text': 'cannabisreferendum', 'indices': [73, 92]}, {'text': 'Referendum2020', 'indices': [93, 108]}]",0,1,,,"[{'url': 'https://t.co/QkkY4StsHh', 'expanded_url': 'https://www.newshub.co.nz/home/entertainment/2020/09/i-m-a-really-good-driver-stoned-tiki-taane-says-cannabis-produces-minimal-harm.html', 'display_url': 'newshub.co.nz/home/entertain…', 'indices': [110, 133]}]"
149,b'TarunBh57539300',2020-09-29 04:22:19,"b'RT @KaurVeera120596: #PakistanISI keep the #Referendum2020 ball rolling to target the #SikhCommunity, especially the #Sikhyouth of Indian P\xe2\x80\xa6'","[{'text': 'PakistanISI', 'indices': [21, 33]}, {'text': 'Referendum2020', 'indices': [43, 58]}, {'text': 'SikhCommunity', 'indices': [86, 100]}, {'text': 'Sikhyouth', 'indices': [117, 127]}]",16,0,,,[]
150,b'AyushAn79220086',2020-09-29 02:50:03,"b'RT @Amarjot42854873: Do You know? \nSFJ\xe2\x80\x99s #Referendum2020 campaign that kicked off in London, instead of bringing popular support from Sikhs\xe2\x80\xa6'","[{'text': 'Referendum2020', 'indices': [41, 56]}]",27,0,,,[]
151,b'eu_and_u',2020-09-28 22:27:01,b'This Sunday and Monday Italy is holding a national referendum about a cut in its MPs. Swipe left to learn more abou\xe2\x80\xa6 https://t.co/qEJqEwqObj',[],0,0,,,"[{'url': 'https://t.co/qEJqEwqObj', 'expanded_url': 'https://twitter.com/i/web/status/1310707611898126338', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
152,b'SitaraWrites',2020-09-28 20:56:43,"b'Come on New Zealand, get with the times, read the room #nzcannabis #Referendum2020 https://t.co/0tpIvJX6IF'","[{'text': 'nzcannabis', 'indices': [55, 66]}, {'text': 'Referendum2020', 'indices': [67, 82]}]",0,0,,,"[{'url': 'https://t.co/0tpIvJX6IF', 'expanded_url': 'https://twitter.com/meladoodle/status/1310682320999911425', 'display_url': 'twitter.com/meladoodle/sta…', 'indices': [83, 106]}]"
153,b'AnupSin70545478',2020-09-28 19:46:46,"b'RT @Gsimran07: Just like all other failed agendas of #Pannun, this #door to door campaign is going to be a super failure too. #NahiChahidaK\xe2\x80\xa6'","[{'text': 'Pannun', 'indices': [53, 60]}, {'text': 'door', 'indices': [67, 72]}]",9,0,,,[]
154,b'ashish_satnani',2020-09-28 18:07:03,"b'RT @Amarjot42854873: Do You know? \nSFJ\xe2\x80\x99s #Referendum2020 campaign that kicked off in London, instead of bringing popular support from Sikhs\xe2\x80\xa6'","[{'text': 'Referendum2020', 'indices': [41, 56]}]",27,0,,,[]
